policy_no;class;start_date;end_date;premium;premium_re
10000;307;2020-06-01;2021-06-02;34298;0
10001;307;2020-08-26;2021-08-27;23779;22415
10002;305;2020-05-09;2021-05-10;43396;0
10003;301;2020-05-24;2021-05-25;22246;20173
10004;307;2020-07-25;2021-07-26;35989;0
10005;101;2020-01-11;2021-01-11;23717;0
10006;101;2020-07-31;2021-08-01;24320;0
10007;301;2020-06-13;2021-06-14;41614;0
10008;101;2020-12-09;2021-12-10;16026;0
10009;102;2020-12-30;2021-12-31;33181;0
10010;301;2020-04-08;2021-04-09;27298;0
10011;308;2020-11-03;2021-11-04;49283;0
10012;102;2020-04-30;2021-05-01;41747;0
10013;306;2020-10-28;2021-10-29;39841;0
10014;101;2020-06-21;2021-06-22;28047;0
10015;306;2020-08-21;2021-08-22;47610;0
10016;101;2020-12-07;2021-12-08;24581;13121
10017;308;2020-07-27;2021-07-28;35004;0
10018;307;2020-02-27;2021-02-27;40602;0
10019;307;2020-08-09;2021-08-10;22261;0
10020;306;2020-05-23;2021-05-24;45805;0
10021;101;2020-12-09;2021-12-10;44579;0
10022;307;2020-09-21;2021-09-22;31243;0
10023;307;2020-09-24;2021-09-25;23172;0
10024;301;2020-01-23;2021-01-23;36773;0
10025;307;2020-09-19;2021-09-20;27689;13107
10026;305;2020-11-14;2021-11-15;39277;0
10027;308;2020-10-19;2021-10-20;19199;0
10028;102;2020-11-15;2021-11-16;28125;0
10029;301;2020-08-04;2021-08-05;19967;0
10030;308;2020-01-05;2021-01-05;15506;0
10031;305;2020-03-15;2021-03-16;34995;0
10032;102;2020-09-05;2021-09-06;35498;0
10033;306;2020-01-28;2021-01-28;18714;0
10034;102;2020-11-20;2021-11-21;49972;0
10035;308;2020-06-08;2021-06-09;25233;0
10036;102;2020-05-20;2021-05-21;32849;0
10037;102;2020-07-20;2021-07-21;38578;0
10038;308;2020-05-29;2021-05-30;29758;0
10039;102;2020-10-17;2021-10-18;33705;20610
10040;305;2020-12-05;2021-12-06;48565;0
10041;306;2020-05-01;2021-05-02;33273;0
10042;308;2020-03-31;2021-04-01;31381;0
10043;306;2020-11-13;2021-11-14;27513;0
10044;308;2020-06-15;2021-06-16;35295;0
10045;102;2020-05-11;2021-05-12;14673;0
10046;308;2020-10-21;2021-10-22;36564;0
10047;301;2020-08-03;2021-08-04;20657;0
10048;307;2020-12-03;2021-12-04;18668;0
10049;308;2020-06-22;2021-06-23;29093;0
10050;301;2020-05-09;2021-05-10;21934;2496
10051;102;2020-05-15;2021-05-16;26925;0
10052;308;2020-03-05;2021-03-06;45936;0
10053;307;2020-09-17;2021-09-18;41547;0
10054;308;2020-06-10;2021-06-11;40539;0
10055;305;2020-08-16;2021-08-17;45473;5513
10056;307;2020-10-22;2021-10-23;37162;13533
10057;308;2020-08-10;2021-08-11;26054;0
10058;305;2020-09-28;2021-09-29;41236;0
10059;101;2020-07-22;2021-07-23;13807;0
10060;301;2020-03-24;2021-03-25;23623;0
10061;101;2020-11-23;2021-11-24;37556;0
10062;306;2020-06-15;2021-06-16;31609;0
10063;101;2020-08-16;2021-08-17;28402;0
10064;308;2020-02-07;2021-02-07;49237;36054
10065;308;2020-05-18;2021-05-19;35958;0
10066;301;2020-05-26;2021-05-27;24662;3159
10067;102;2020-09-16;2021-09-17;33512;0
10068;301;2020-10-14;2021-10-15;31036;0
10069;307;2020-02-27;2021-02-27;48676;0
10070;301;2020-02-25;2021-02-25;18358;5789
10071;102;2020-02-02;2021-02-02;13942;0
10072;102;2020-12-20;2021-12-21;38777;0
10073;102;2020-03-09;2021-03-10;19570;0
10074;307;2020-03-30;2021-03-31;23585;0
10075;305;2020-05-10;2021-05-11;29859;0
10076;306;2020-09-16;2021-09-17;24699;0
10077;102;2020-12-15;2021-12-16;15492;0
10078;305;2020-04-07;2021-04-08;30773;0
10079;301;2020-10-21;2021-10-22;14400;2096
10080;305;2020-07-27;2021-07-28;30558;0
10081;301;2020-06-25;2021-06-26;48134;0
10082;301;2020-03-24;2021-03-25;36753;0
10083;101;2020-02-24;2021-02-24;34442;20308
10084;301;2020-12-18;2021-12-19;46165;0
10085;102;2020-02-07;2021-02-07;45956;0
10086;101;2020-11-20;2021-11-21;41046;24812
10087;101;2020-04-12;2021-04-13;18580;280
10088;306;2020-02-11;2021-02-11;19723;0
10089;308;2020-10-14;2021-10-15;19349;0
10090;301;2020-05-23;2021-05-24;28426;17304
10091;307;2020-11-08;2021-11-09;32535;0
10092;307;2020-05-31;2021-06-01;12861;0
10093;305;2020-11-04;2021-11-05;14302;0
10094;308;2020-07-10;2021-07-11;30850;0
10095;102;2020-06-19;2021-06-20;30610;0
10096;301;2020-07-15;2021-07-16;30585;0
10097;306;2020-11-15;2021-11-16;31570;0
10098;301;2020-02-17;2021-02-17;25742;0
10099;306;2020-06-02;2021-06-03;27398;0
10100;305;2020-08-12;2021-08-13;49496;0
10101;308;2020-10-17;2021-10-18;27654;0
10102;305;2020-10-27;2021-10-28;28341;0
10103;101;2020-01-25;2021-01-25;20110;0
10104;307;2020-01-24;2021-01-24;13251;0
10105;101;2020-06-25;2021-06-26;22741;0
10106;308;2020-01-28;2021-01-28;12418;0
10107;102;2020-09-03;2021-09-04;31959;0
10108;307;2020-07-14;2021-07-15;26639;13948
10109;307;2020-04-15;2021-04-16;49936;0
10110;308;2020-11-18;2021-11-19;36992;0
10111;307;2020-11-11;2021-11-12;42043;0
10112;308;2020-03-09;2021-03-10;33085;0
10113;301;2020-04-19;2021-04-20;40769;0
10114;307;2020-07-05;2021-07-06;12052;0
10115;301;2020-01-27;2021-01-27;25796;0
10116;101;2020-05-14;2021-05-15;39779;0
10117;305;2020-08-12;2021-08-13;24320;0
10118;308;2020-09-10;2021-09-11;37705;0
10119;102;2020-05-10;2021-05-11;33103;0
10120;305;2020-01-13;2021-01-13;48895;0
10121;102;2020-06-05;2021-06-06;46116;0
10122;101;2020-06-10;2021-06-11;32483;0
10123;306;2020-10-20;2021-10-21;37460;0
10124;306;2020-08-03;2021-08-04;45539;0
10125;102;2020-07-28;2021-07-29;37870;0
10126;301;2020-10-23;2021-10-24;18605;0
10127;307;2020-07-17;2021-07-18;45633;0
10128;101;2020-10-19;2021-10-20;34374;0
10129;307;2020-04-26;2021-04-27;16699;0
10130;307;2020-02-17;2021-02-17;32529;0
10131;306;2020-04-12;2021-04-13;35237;0
10132;305;2020-11-28;2021-11-29;27924;0
10133;308;2020-11-18;2021-11-19;34708;0
10134;308;2020-01-09;2021-01-09;37219;29425
10135;307;2020-02-14;2021-02-14;21859;5505
10136;101;2020-10-07;2021-10-08;42971;0
10137;307;2020-08-10;2021-08-11;26738;0
10138;306;2020-06-30;2021-07-01;41756;0
10139;301;2020-06-07;2021-06-08;43665;4986
10140;102;2020-03-21;2021-03-22;31061;0
10141;102;2020-11-21;2021-11-22;17734;8152
10142;102;2020-01-06;2021-01-06;23139;0
10143;306;2020-04-05;2021-04-06;31728;0
10144;308;2020-11-16;2021-11-17;25727;0
